City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,63.0,98,100,8.01,overcast clouds
1,Altay,CN,47.8667,88.1167,41.79,28,3,4.45,clear sky
2,Tabuk,PH,17.4189,121.4443,84.04,52,86,3.15,overcast clouds
3,Lena,ES,43.1,-5.7333,42.8,75,0,4.61,clear sky
4,Guerrero Negro,MX,27.9769,-114.0611,59.77,79,43,16.02,scattered clouds
5,Rikitea,PF,-23.1203,-134.9692,78.37,72,8,6.73,light rain
6,Puerto Ayora,EC,-0.7393,-90.3518,76.15,88,51,3.04,broken clouds
7,Hobart,AU,-42.8794,147.3294,57.99,62,75,11.5,broken clouds
8,Palmares Do Sul,BR,-30.2578,-50.5097,70.29,71,100,18.07,overcast clouds
9,Severo-Kurilsk,RU,50.6789,156.125,36.97,90,71,9.04,broken clouds
10,Castro,BR,-24.7911,-50.0119,62.83,76,0,5.41,clear sky
11,Khani,GE,41.9563,42.9566,44.6,93,90,2.3,overcast clouds
12,Norman Wells,CA,65.282,-126.8329,12.2,37,1,11.5,clear sky
13,Butaritari,KI,3.0707,172.7902,80.92,78,100,8.23,light rain
14,West Memphis,US,35.1465,-90.1845,66.2,45,1,5.75,clear sky
15,Esperance,AU,-33.8667,121.9,60.8,100,90,25.32,overcast clouds
16,Leningradskiy,RU,69.3833,178.4167,1.11,75,4,7.78,clear sky
17,Mataura,NZ,-46.1927,168.8643,64.99,73,100,5.01,light rain
18,Kungurtug,RU,50.5994,97.5228,26.38,62,23,0.2,few clouds
19,Pevek,RU,69.7008,170.3133,-8.0,91,83,4.94,broken clouds
20,Cape Town,ZA,-33.9258,18.4232,63.0,94,0,1.14,clear sky
21,Lamar,US,33.6668,-95.5836,69.8,40,1,5.75,clear sky
22,Georgetown,MY,5.4112,100.3354,84.2,83,20,4.61,few clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,65,1,10.36,clear sky
24,Hermanus,ZA,-34.4187,19.2345,64.0,79,99,8.01,overcast clouds
25,Chokurdakh,RU,70.6333,147.9167,0.5,86,74,13.65,broken clouds
26,Lebu,CL,-37.6167,-73.65,56.37,88,1,12.37,clear sky
27,Kruisfontein,ZA,-34.0033,24.7314,57.0,91,100,1.01,overcast clouds
28,Svetlaya,RU,46.5389,138.3297,49.26,64,100,15.97,overcast clouds
29,Qaqortoq,GL,60.7167,-46.0333,39.2,52,2,4.61,clear sky
30,Airai,TL,-8.9266,125.4092,73.67,54,15,1.32,few clouds
31,Vaini,TO,-21.2,-175.2,78.8,78,75,8.05,broken clouds
32,Okhotsk,RU,59.3833,143.3,20.48,80,100,10.94,light snow
33,Geraldton,AU,-28.7667,114.6,71.6,88,75,18.41,light rain
34,Weligama,LK,5.9667,80.4167,78.26,82,26,3.0,scattered clouds
35,Talnakh,RU,69.4865,88.3972,23.47,84,100,14.83,overcast clouds
36,Kavaratti,IN,10.5669,72.642,83.17,69,11,3.56,few clouds
37,Bambous Virieux,MU,-20.3428,57.7575,75.99,94,40,3.44,scattered clouds
38,Qaanaaq,GL,77.484,-69.3632,21.0,95,100,5.93,light snow
39,Prainha,BR,-1.8,-53.48,73.24,97,99,1.95,overcast clouds
40,Bonfim,BR,3.0833,-59.95,74.16,90,98,2.35,overcast clouds
41,Chicama,PE,-7.8447,-79.1469,68.0,88,94,6.91,overcast clouds
42,Lyubytino,RU,58.8122,33.3922,44.29,94,91,7.54,overcast clouds
43,Te Anau,NZ,-45.4167,167.7167,57.09,79,97,1.63,light rain
44,Samarai,PG,-10.6167,150.6667,82.04,60,17,10.02,few clouds
45,Udachnyy,RU,66.4167,112.4,14.52,73,81,5.46,broken clouds
46,Ixtapa,MX,20.7,-105.2,77.0,78,1,9.22,clear sky
47,Khatanga,RU,71.9667,102.5,20.95,81,97,5.08,overcast clouds
48,Shelburne,CA,44.0787,-80.2041,55.99,83,88,6.08,light rain
49,Santa Maria Do Suacui,BR,-18.1903,-42.4142,62.19,81,0,2.66,clear sky
50,Lopatino,RU,52.6195,45.8118,43.36,94,100,8.72,overcast clouds
51,Tshane,BW,-24.0196,21.8684,67.75,43,0,6.35,clear sky
52,Atuona,PF,-9.8,-139.0333,80.53,77,25,15.48,scattered clouds
53,Ribeira Grande,PT,38.5167,-28.7,62.15,88,24,13.98,few clouds
54,Natchitoches,US,31.7668,-93.1335,60.8,82,1,5.14,clear sky
55,Abu Kamal,SY,34.4506,40.9171,54.01,48,0,9.84,clear sky
56,Hambantota,LK,6.1241,81.1185,75.2,100,20,2.3,few clouds
57,Kulevcha,UA,46.0303,29.9361,45.27,62,44,8.55,scattered clouds
58,Hilo,US,19.7297,-155.09,71.6,56,90,3.44,light rain
59,Bluff,NZ,-46.6,168.3333,64.99,73,100,5.01,light rain
60,Ilulissat,GL,69.2167,-51.1,30.2,69,75,4.61,broken clouds
61,Emerald,AU,-23.5333,148.1667,73.99,18,40,19.57,scattered clouds
62,Arraial Do Cabo,BR,-22.9661,-42.0278,76.28,80,5,15.66,clear sky
63,Jamestown,US,42.097,-79.2353,55.0,87,90,8.05,overcast clouds
64,Quatre Cocos,MU,-20.2078,57.7625,75.99,94,40,3.44,scattered clouds
65,Kapaa,US,22.0752,-159.319,78.8,57,75,17.27,broken clouds
66,Saint-Philippe,RE,-21.3585,55.7679,78.8,69,0,6.91,light rain
67,Chuy,UY,-33.6971,-53.4616,62.65,74,77,13.78,broken clouds
68,Saint-Louis,SN,16.3333,-15.0,82.45,20,0,13.02,clear sky
69,Sonoita,MX,31.85,-112.8333,74.79,29,80,9.4,broken clouds
70,Alyangula,AU,-13.8483,136.4192,87.8,66,40,8.05,scattered clouds
71,Acari,PE,-15.4311,-74.6158,73.62,72,100,2.95,overcast clouds
72,Anadyr,RU,64.75,177.4833,5.0,78,20,15.66,snow
73,Iquitos,PE,-3.7481,-73.2472,77.0,94,40,1.9,heavy intensity rain
74,Daokou,CN,35.5639,114.5058,68.22,39,13,3.67,few clouds
75,Dikson,RU,73.5069,80.5464,28.13,93,100,23.44,light snow
76,Mulchen,CL,-37.7167,-72.2333,59.76,69,0,7.49,clear sky
77,Pangnirtung,CA,66.1451,-65.7125,38.28,99,100,4.63,light rain
78,Na Klang,TH,17.3072,102.1889,86.0,89,75,3.44,broken clouds
79,Kodiak,US,57.79,-152.4072,39.2,87,90,14.97,light rain
80,Mandalgovi,MN,45.7625,106.2708,21.6,23,0,19.48,clear sky
81,Bredasdorp,ZA,-34.5322,20.0403,64.0,79,100,8.01,overcast clouds
82,Kamenka,RU,51.3223,42.7678,44.33,92,100,10.54,overcast clouds
83,Punta Arenas,CL,-53.15,-70.9167,48.2,87,90,14.97,light rain
84,Westport,US,41.1415,-73.3579,50.0,87,90,11.5,light rain
85,Barcelos,PT,41.5388,-8.6151,55.99,67,0,5.75,clear sky
86,Ostrovnoy,RU,68.0531,39.5131,29.37,82,9,23.85,clear sky
87,Kamaishi,JP,39.2667,141.8833,57.2,54,20,9.22,few clouds
88,Victoria,HK,22.2855,114.1577,78.01,83,99,1.99,overcast clouds
89,Sorland,NO,67.667,12.6934,36.97,60,100,10.76,overcast clouds
90,Sitka,US,57.0531,-135.33,39.2,75,90,3.44,light snow
91,Iguai,BR,-14.7564,-40.0892,67.95,95,95,2.35,overcast clouds
92,Sembakung,ID,3.8167,117.25,82.4,78,75,6.91,broken clouds
93,Hofn,IS,64.2539,-15.2082,39.63,76,100,12.77,light rain
94,Port Macquarie,AU,-31.4333,152.9167,68.0,31,0,1.99,clear sky
95,Port Alfred,ZA,-33.5906,26.891,66.0,89,100,1.52,overcast clouds
96,San Cristobal,VE,7.7669,-72.225,66.18,93,100,1.81,overcast clouds
97,Mar Del Plata,AR,-38.0023,-57.5575,60.01,93,0,4.61,clear sky
98,Tasiilaq,GL,65.6145,-37.6368,23.0,68,0,6.22,clear sky
99,Shingu,JP,33.7333,135.9833,68.0,52,40,9.22,scattered clouds
100,Iskateley,RU,67.6803,53.1512,32.0,90,99,23.4,overcast clouds
101,Hithadhoo,MV,-0.6,73.0833,83.26,67,95,10.27,overcast clouds
102,Parati,BR,-23.2178,-44.7131,70.88,66,0,5.48,clear sky
103,Luderitz,NA,-26.6481,15.1594,74.14,45,0,6.55,clear sky
104,Solnechnyy,RU,50.7214,136.6319,36.68,56,100,4.03,overcast clouds
105,Hasaki,JP,35.7333,140.8333,68.0,48,75,8.05,broken clouds
106,Kodinsk,RU,58.6881,99.1844,33.69,88,88,4.72,overcast clouds
107,Avarua,CK,-21.2078,-159.775,82.4,83,20,9.22,few clouds
108,Tura,IN,25.5198,90.2201,84.11,41,2,5.75,clear sky
109,Coquimbo,CL,-29.9533,-71.3436,57.2,88,0,3.44,clear sky
110,Nabire,ID,-3.3667,135.4833,88.16,59,31,4.65,scattered clouds
111,Dingle,PH,10.9995,122.6711,87.15,55,91,11.1,overcast clouds
112,Torbay,CA,47.6666,-52.7314,32.0,100,90,6.91,overcast clouds
113,Alora,ES,36.8236,-4.7058,64.4,63,0,13.8,clear sky
114,Ushuaia,AR,-54.8,-68.3,53.6,40,75,32.21,moderate rain
115,Grindavik,IS,63.8424,-22.4338,37.4,87,90,16.11,overcast clouds
116,Hobyo,SO,5.3505,48.5268,81.64,61,74,10.96,broken clouds
117,Meulaboh,ID,4.1363,96.1285,79.45,82,68,5.06,broken clouds
118,Tiksi,RU,71.6872,128.8694,15.26,63,100,8.66,overcast clouds
119,Romny,UA,50.751,33.4747,42.19,69,100,8.7,overcast clouds
120,Mahanoro,MG,-19.9,48.8,73.08,91,100,7.74,overcast clouds
121,Emba,KZ,48.8264,58.1442,39.94,69,0,9.71,clear sky
122,Goure,NE,13.9835,10.2704,78.06,9,92,9.37,overcast clouds
123,Bengkulu,ID,-3.8004,102.2655,77.61,85,100,2.48,overcast clouds
124,Itarema,BR,-2.9248,-39.9167,79.3,78,100,9.04,overcast clouds
125,Maldonado,UY,-34.6667,-54.9167,66.99,63,75,20.71,broken clouds
126,Barrow,US,71.2906,-156.7887,-9.4,70,1,6.91,clear sky
127,Santa Marta,CO,11.2408,-74.199,84.2,70,20,13.8,few clouds
128,Terney,RU,45.0503,136.6092,52.25,63,97,12.55,overcast clouds
129,Kishi,NG,9.0833,3.85,78.22,68,56,10.96,broken clouds
130,Oro Valley,US,32.3909,-110.9665,84.99,10,52,1.01,broken clouds
131,Sampit,ID,-2.5333,112.95,86.63,66,83,0.51,broken clouds
132,Upernavik,GL,72.7868,-56.1549,29.21,87,100,30.06,light snow
133,Sokoni,TZ,-6.4333,39.55,78.8,94,75,11.5,moderate rain
134,Muromtsevo,RU,56.3724,75.2418,33.4,82,81,9.71,broken clouds
135,Carnarvon,AU,-24.8667,113.6333,80.6,78,75,13.8,broken clouds
136,Laramie,US,41.3114,-105.5911,35.6,23,1,10.36,clear sky
137,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.0,30,73,2.24,broken clouds
138,Yaan,NG,7.3833,8.5667,78.93,76,100,8.23,overcast clouds
