City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Zhigansk,RU,2021-04-10 01:02:49,66.7697,123.3711,4.84,82,100,18.03
1,Surt,LY,2021-04-10 01:02:49,31.2089,16.5887,57.99,67,0,15.39
2,Nova Venecia,BR,2021-04-10 01:02:49,-18.7106,-40.4006,67.01,81,82,4.09
3,Znamenskoye,RU,2021-04-10 01:02:49,57.1281,73.8282,27.16,97,16,4.68
4,Qaanaaq,GL,2021-04-10 01:02:50,77.484,-69.3632,11.21,59,100,8.14
5,Tuktoyaktuk,CA,2021-04-10 01:02:50,69.4541,-133.0374,-14.8,70,75,12.66
6,Victoria,HK,2021-04-10 01:02:03,22.2855,114.1577,71.01,64,52,4.0
7,Avarua,CK,2021-04-10 01:02:51,-21.2078,-159.775,84.2,74,87,3.44
8,Port Alfred,ZA,2021-04-10 01:02:51,-33.5906,26.891,62.49,84,86,2.46
9,Houlton,US,2021-04-10 01:02:51,46.1262,-67.8403,55.0,71,90,3.36
10,Nikolskoye,RU,2021-04-10 01:02:51,59.7035,30.7861,39.99,75,40,17.9
11,Albany,US,2021-04-10 01:01:18,42.6001,-73.9662,64.4,42,90,6.91
12,Geraldton,AU,2021-04-10 01:02:52,-28.7667,114.6,78.8,50,90,21.85
13,Coquimbo,CL,2021-04-10 01:01:01,-29.9533,-71.3436,59.0,82,0,9.22
14,Punta Arenas,CL,2021-04-10 00:58:56,-53.15,-70.9167,44.6,76,0,10.36
15,Rikitea,PF,2021-04-10 00:58:53,-23.1203,-134.9692,78.19,74,81,10.76
16,Ushuaia,AR,2021-04-10 01:01:44,-54.8,-68.3,44.6,61,40,10.36
17,Vostok,RU,2021-04-10 01:02:53,46.4856,135.8833,39.74,49,27,5.77
18,Vychegodskiy,RU,2021-04-10 01:02:53,61.247,46.8984,30.04,86,6,8.61
19,Vaini,TO,2021-04-10 01:02:53,-21.2,-175.2,82.4,74,40,6.91
20,Arraial Do Cabo,BR,2021-04-10 01:02:14,-22.9661,-42.0278,75.56,74,0,15.73
21,Nemuro,JP,2021-04-10 01:02:50,43.3236,145.575,41.0,48,75,14.97
22,Mataura,NZ,2021-04-10 01:02:54,-46.1927,168.8643,55.0,89,100,1.99
23,Khatanga,RU,2021-04-10 01:00:36,71.9667,102.5,2.35,77,24,6.24
24,Mirabad,AF,2021-04-10 01:02:54,30.4362,61.8383,72.61,12,0,5.1
25,Port Elizabeth,ZA,2021-04-10 01:00:10,-33.918,25.5701,57.2,94,0,3.44
26,Umm Kaddadah,SD,2021-04-10 01:00:09,13.6017,26.6876,73.45,12,50,13.8
27,Sao Filipe,CV,2021-04-10 01:02:55,14.8961,-24.4956,75.04,62,29,19.39
28,Puerto Ayora,EC,2021-04-10 01:02:55,-0.7393,-90.3518,75.99,96,96,1.01
29,San Jose,US,2021-04-10 01:02:17,37.3394,-121.895,64.0,58,20,17.27
30,Zaranj,AF,2021-04-10 01:02:55,30.9667,61.8833,60.8,23,0,6.91
31,Busselton,AU,2021-04-10 01:02:56,-33.65,115.3333,61.0,78,0,8.01
32,Casma,CL,2021-04-10 01:02:56,-41.0082,-73.1244,53.6,94,0,1.14
33,Omboue,GA,2021-04-10 01:02:56,-1.5746,9.2618,78.6,86,76,4.29
34,Lons-Le-Saunier,FR,2021-04-10 01:02:57,46.75,5.75,52.0,60,100,14.0
35,Pacific Grove,US,2021-04-10 01:02:57,36.6177,-121.9166,54.0,79,0,4.0
36,Naze,JP,2021-04-10 01:00:34,28.3667,129.4833,66.2,88,75,23.02
37,Hermanus,ZA,2021-04-10 01:02:59,-34.4187,19.2345,64.99,85,100,3.0
38,Linkou,CN,2021-04-10 01:02:59,45.3,130.2833,48.74,29,7,7.47
39,Hilo,US,2021-04-10 01:00:06,19.7297,-155.09,78.8,53,75,11.5
40,Itarema,BR,2021-04-10 01:02:59,-2.9248,-39.9167,79.54,83,35,11.88
41,Cape Town,ZA,2021-04-10 00:59:12,-33.9258,18.4232,64.0,94,0,6.91
42,Atuona,PF,2021-04-10 01:00:55,-9.8,-139.0333,80.49,77,17,13.49
43,New Norfolk,AU,2021-04-10 01:03:00,-42.7826,147.0587,50.0,68,30,4.0
44,Lompoc,US,2021-04-10 01:01:09,34.6391,-120.4579,57.2,67,0,21.85
45,Magadan,RU,2021-04-10 01:03:00,59.5667,150.8,21.02,62,8,2.75
46,Tekeli,KZ,2021-04-10 01:03:01,44.83,78.8239,39.43,58,90,8.59
47,Esperance,AU,2021-04-10 01:03:01,-33.8667,121.9,62.6,63,90,8.05
48,Bambous Virieux,MU,2021-04-10 01:03:01,-20.3428,57.7575,78.01,94,75,11.5
49,Les Cayes,HT,2021-04-10 01:03:02,18.2,-73.75,77.41,80,100,7.63
50,Nuuk,GL,2021-04-10 01:01:07,64.1835,-51.7216,37.4,87,90,20.71
51,Bluff,NZ,2021-04-10 01:03:02,-46.6,168.3333,55.0,89,100,1.99
52,Lebu,CL,2021-04-10 01:03:02,-37.6167,-73.65,54.5,82,100,15.5
53,Leshukonskoye,RU,2021-04-10 01:03:03,64.8989,45.7622,31.21,81,90,13.02
54,Saint George,US,2021-04-10 01:01:45,37.1041,-113.5841,79.0,8,1,10.36
55,Raudeberg,NO,2021-04-10 01:03:03,61.9875,5.1352,36.0,81,100,22.86
56,Guerrero Negro,MX,2021-04-10 01:03:03,27.9769,-114.0611,62.44,75,14,23.22
57,Borovoy,RU,2021-04-10 01:03:04,55.4333,86.0833,35.6,60,0,6.71
58,Awbari,LY,2021-04-10 01:03:04,26.5921,12.7805,64.65,41,6,13.91
59,Yellowknife,CA,2021-04-10 01:01:14,62.456,-114.3525,15.8,57,75,16.11
60,Necochea,AR,2021-04-10 01:03:04,-38.5473,-58.7368,60.26,84,1,6.29
61,Tessalit,ML,2021-04-10 01:03:05,20.1986,1.0114,80.94,13,0,7.31
62,Narsaq,GL,2021-04-10 01:03:05,60.9167,-46.05,37.4,75,75,3.44
63,Winnemucca,US,2021-04-10 01:01:48,40.973,-117.7357,68.0,11,1,9.22
64,Luhyny,UA,2021-04-10 01:03:06,51.082,28.4006,33.6,73,41,7.45
65,Barrow,US,2021-04-10 01:03:06,71.2906,-156.7887,-9.4,70,1,12.66
66,Burgos,ES,2021-04-10 01:03:06,42.3394,-3.7079,43.0,100,75,3.44
67,Taltal,CL,2021-04-10 01:03:07,-25.4,-70.4833,65.57,80,90,3.4
68,Katsuura,JP,2021-04-10 01:03:07,35.1333,140.3,51.01,57,100,3.0
69,Comodoro Rivadavia,AR,2021-04-10 00:59:04,-45.8667,-67.5,51.8,87,0,4.61
70,Korla,CN,2021-04-10 01:02:31,41.7597,86.1469,52.68,56,56,7.99
71,Perth,AU,2021-04-10 01:00:00,-31.9333,115.8333,69.01,56,0,25.32
72,Talnakh,RU,2021-04-10 01:00:22,69.4865,88.3972,23.11,93,100,13.06
73,Keetmanshoop,NA,2021-04-10 01:03:08,-26.5833,18.1333,71.6,35,0,8.05
74,Provideniya,RU,2021-04-10 01:03:08,64.3833,-173.3,2.34,84,100,15.75
75,Faya,SA,2021-04-10 01:01:51,18.3851,42.4509,64.4,55,20,2.91
76,Seevetal,DE,2021-04-10 01:03:08,53.4,9.9667,41.0,87,90,5.75
77,Stari Banovci,RS,2021-04-10 01:03:09,44.9864,20.2867,46.4,65,0,3.44
78,Oksfjord,NO,2021-04-10 01:03:09,70.2396,22.3479,19.4,73,97,3.44
79,Winsum,NL,2021-04-10 01:03:09,53.33,6.5208,42.01,92,100,7.9
80,Butaritari,KI,2021-04-10 01:03:10,3.0707,172.7902,82.17,77,100,15.43
81,Bethel,US,2021-04-10 01:01:05,41.3712,-73.414,53.01,80,100,3.44
82,Kefamenanu,ID,2021-04-10 01:03:10,-9.4467,124.4781,78.33,66,100,1.74
83,Msanga,TZ,2021-04-10 01:03:10,-6.05,36.0333,63.52,98,84,3.51
84,Ilulissat,GL,2021-04-10 01:03:11,69.2167,-51.1,26.6,86,75,14.97
85,Anzio,IT,2021-04-10 01:03:11,41.4853,12.6179,48.0,81,100,1.99
86,Souillac,MU,2021-04-10 01:03:11,-20.5167,57.5167,75.2,94,75,11.5
87,Asosa,ET,2021-04-10 01:02:16,10.0667,34.5333,71.44,13,10,2.48
88,Kapaa,US,2021-04-10 01:03:12,22.0752,-159.319,77.0,61,20,13.8
89,Hobart,AU,2021-04-10 01:00:21,-42.8794,147.3294,57.2,44,40,18.41
90,Puerto Palomas,MX,2021-04-10 01:03:12,31.7667,-107.6167,78.8,5,1,18.41
91,Singkang,MY,2021-04-10 01:03:12,2.1006,102.7994,77.0,94,20,1.14
92,Mozarlandia,BR,2021-04-10 01:03:13,-14.7447,-50.5706,72.79,78,71,5.19
93,North Myrtle Beach,US,2021-04-10 01:03:13,33.816,-78.68,68.0,82,1,16.11
94,Saint-Philippe,RE,2021-04-10 01:03:13,-21.3585,55.7679,77.0,69,100,3.44
95,Cabo San Lucas,MX,2021-04-10 01:03:14,22.8909,-109.9124,77.0,68,20,3.44
96,Ust-Kut,RU,2021-04-10 01:03:14,56.7938,105.7672,19.15,70,59,5.06
97,Nisia Floresta,BR,2021-04-10 01:03:14,-6.0911,-35.2086,78.8,83,20,10.36
98,Gorontalo,ID,2021-04-10 01:03:15,0.5412,123.0595,84.4,71,98,0.18
99,Saldanha,ZA,2021-04-10 01:03:15,-33.0117,17.9442,59.0,94,100,5.75
100,Selma,US,2021-04-10 01:03:15,36.5708,-119.6121,80.6,19,1,11.5
101,Tazovskiy,RU,2021-04-10 01:03:15,67.4667,78.7,32.59,90,100,20.18
102,Tarabuco,BO,2021-04-10 01:03:16,-19.1667,-64.9167,51.51,81,14,4.45
103,Tongliao,CN,2021-04-10 01:03:16,43.6125,122.2653,58.44,24,6,17.47
104,Key West,US,2021-04-10 00:58:27,24.5557,-81.7826,77.0,69,1,14.97
105,Tilichiki,RU,2021-04-10 01:03:17,60.4667,166.1,10.76,84,100,12.95
106,Hithadhoo,MV,2021-04-10 01:03:17,-0.6,73.0833,82.62,68,0,9.06
107,Hofn,IS,2021-04-10 01:00:58,64.2539,-15.2082,24.69,53,6,11.48
108,San Pedro,PH,2021-04-10 01:03:17,14.35,121.0167,87.8,55,20,12.66
109,Shilovo,RU,2021-04-10 01:00:53,54.3204,40.874,34.39,69,1,3.42
110,Beringovskiy,RU,2021-04-10 01:03:18,63.05,179.3167,7.54,93,100,20.09
111,Yelanskiy,RU,2021-04-10 01:03:18,56.8419,62.5014,35.58,98,100,7.27
112,Chokurdakh,RU,2021-04-10 01:03:18,70.6333,147.9167,-7.31,90,92,11.88
113,Caravelas,BR,2021-04-10 01:03:19,-17.7125,-39.2481,73.18,86,29,8.08
114,Betafo,MG,2021-04-10 01:03:19,-19.8333,46.85,59.04,90,100,3.06
115,Olenegorsk,RU,2021-04-10 01:03:19,68.15,33.3,25.21,96,99,3.62
116,Coahuayana,MX,2021-04-10 01:03:20,18.7333,-103.6833,78.8,41,1,3.85
117,Lasa,IT,2021-04-10 01:00:23,46.6166,10.7002,33.8,100,0,4.61
118,Ahuimanu,US,2021-04-10 01:03:20,21.4447,-157.8378,80.6,60,40,13.8
119,Clyde River,CA,2021-04-10 01:03:20,70.4692,-68.5914,3.2,85,1,6.91
120,Tigil,RU,2021-04-10 01:03:21,57.8,158.6667,20.32,84,100,16.26
121,Tuatapere,NZ,2021-04-10 01:03:21,-46.1333,167.6833,55.0,89,100,1.99
122,Harper,LR,2021-04-10 01:03:21,4.375,-7.7169,79.23,85,100,0.85
123,Porvoo,FI,2021-04-10 01:03:22,60.3923,25.6651,39.0,89,97,5.99
124,Jega,NG,2021-04-10 01:03:22,12.2175,4.3792,83.21,11,0,2.8
125,Ekhabi,RU,2021-04-10 01:03:22,53.5102,142.9671,28.54,72,6,4.16
126,Castro,BR,2021-04-10 01:03:23,-24.7911,-50.0119,62.85,72,30,2.66
127,Hakui,JP,2021-04-10 01:03:23,36.8833,136.7833,52.0,49,20,4.61
128,Upernavik,GL,2021-04-10 01:03:23,72.7868,-56.1549,10.53,96,100,13.87
129,Nanortalik,GL,2021-04-10 01:01:41,60.1432,-45.2371,36.21,96,100,7.49
130,Prince Rupert,CA,2021-04-10 00:59:35,54.3161,-130.3201,39.2,80,90,6.91
131,East London,ZA,2021-04-10 01:03:24,-33.0153,27.9116,65.12,88,33,3.65
132,Iqaluit,CA,2021-04-10 01:01:16,63.7506,-68.5145,6.8,72,75,13.8
133,Ambon,ID,2021-04-10 01:03:24,-3.6954,128.1814,77.0,94,40,6.91
134,Marzuq,YE,2021-04-10 01:03:25,14.4,46.4667,66.04,11,0,5.91
135,Ribeira Grande,PT,2021-04-10 01:03:25,38.5167,-28.7,59.97,87,100,17.87
136,Thompson,CA,2021-04-10 01:03:25,55.7435,-97.8558,42.8,61,75,8.05
137,Kruisfontein,ZA,2021-04-10 01:03:26,-34.0033,24.7314,57.52,84,40,2.98
138,Batala,IN,2021-04-10 01:03:26,31.8186,75.2028,59.0,58,54,2.3
139,Sakakah,SA,2021-04-10 01:03:26,29.9697,40.2064,62.6,36,0,14.97
140,Ancud,CL,2021-04-10 00:59:39,-41.8697,-73.8203,48.99,87,0,5.75
141,Kalmar,SE,2021-04-10 01:03:27,56.6616,16.3616,37.99,80,1,10.36
142,Coihaique,CL,2021-04-10 01:03:27,-45.5752,-72.0662,41.97,89,5,4.85
143,Diamantino,BR,2021-04-10 01:00:12,-14.4086,-56.4461,74.25,87,97,4.99
144,Ginda,IN,2021-04-10 01:03:27,30.6945,78.4932,50.05,20,8,8.75
145,Airai,TL,2021-04-10 00:59:24,-8.9266,125.4092,70.52,53,11,2.84
146,Konevo,RU,2021-04-10 01:03:28,62.1215,39.3192,34.21,81,88,14.34
147,Nezhinka,RU,2021-04-10 01:03:28,51.7676,55.3694,42.8,70,0,13.42
148,Luderitz,NA,2021-04-10 01:03:28,-26.6481,15.1594,73.36,49,0,5.28
149,Yulara,AU,2021-04-10 01:03:29,-25.2406,130.9889,77.0,41,100,16.11
150,Gamba,GA,2021-04-10 01:03:29,-2.65,10.0,79.07,88,100,4.85
151,Lagoa,PT,2021-04-10 00:59:17,39.05,-27.9833,58.44,85,100,17.0
152,Tasiilaq,GL,2021-04-10 01:03:11,65.6145,-37.6368,23.0,80,100,4.61
